,LesionWise_Dice_ET,LesionWise_Dice_TC,LesionWise_Dice_WT,LesionWise_NSD_0.5_ET,LesionWise_NSD_0.5_TC,LesionWise_NSD_0.5_WT,LesionWise_NSD_1.0_ET,LesionWise_NSD_1.0_TC,LesionWise_NSD_1.0_WT,LesionWise_Hausdorff95_ET,LesionWise_Hausdorff95_TC,LesionWise_Hausdorff95_WT,Num_TP_ET,Num_TP_TC,Num_TP_WT,Num_FP_ET,Num_FP_TC,Num_FP_WT,Num_FN_ET,Num_FN_TC,Num_FN_WT
BraTS-SSA-00206-000,0.4227114058089623,0.2704498821380635,0.9456701921505452,0.13596704828159803,0.044516397072900726,0.5311805105403491,0.30658705620453236,0.1271101885422317,0.8042957036225261,189.73861278752582,253.456438958951,9.219544457292887,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
BraTS-SSA-00207-000,0.92181198720623,0.848918685775686,0.9549402431100965,0.5168682467930272,0.47017754932468736,0.5556818440456119,0.8672214186283027,0.7568235622933657,0.8608292111212726,1.7320508075688772,10.04987562112089,2.8284271247461903,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00210-000,0.5236022047343939,0.5203623612246575,0.9580971399123938,0.3958936635025485,0.34930038299377375,0.5378246015590962,0.6457849647949181,0.6021839265512898,0.8283248827126531,42.65862092060406,44.92139784990611,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00218-000,0.947849108406057,0.966340887579628,0.9469630998714508,0.7139890045188941,0.6668167871757918,0.4942521723870213,0.9480590316528902,0.9226405019275943,0.8413899269816741,1.4142135623730951,2.0,2.23606797749979,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00225-000,0.9600965267603206,0.9772831142296422,0.9769482874165741,0.7167130755255599,0.7850088986841305,0.6594472767862906,0.9603034266236087,0.9903984174058434,0.9449969940502522,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00226-000,0.9473461917499648,0.9690323313824649,0.9620347659166044,0.7797166705012925,0.79033153549734,0.666643211293629,0.9815245336660551,0.9751036783475487,0.9382054442606702,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00227-000,0.7057308435286542,0.6840521564694082,0.8825803012128481,0.40315515063609464,0.30075357508334266,0.4733819321992354,0.8797394975289883,0.7733724770465429,0.8763386462990628,2.23606797749979,2.23606797749979,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BraTS-SSA-00228-000,0.9348476521951518,0.9781451508200978,0.9686553474681114,0.6142598685737758,0.5959406920433884,0.522503482204537,0.9554427653552006,0.9443427165223736,0.8670487393945971,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.8704538920575107,0.8645794726309232,0.926637192540277,0.619069786598883,0.557038199266628,0.5739062536916962,0.8725691192388965,0.8122333012557107,0.8493765704709434,20.687348615823584,23.9839068116292,13.996759228608852,1.0,1.0,1.0,0.02857142857142857,0.02857142857142857,0.0,0.08571428571428572,0.11428571428571428,0.05714285714285714
std,0.1687953931778935,0.19327731378666396,0.11359318611756558,0.17820830571057072,0.19422051026766418,0.12116152953138812,0.1721297630508717,0.20054304751867003,0.12332719997417263,59.5251725840533,65.22691741934243,43.56294306894768,0.24253562503633297,0.24253562503633297,0.0,0.16903085094570333,0.16903085094570333,0.0,0.37349136311209086,0.40376380482162294,0.2355041079768028
25quantile,0.8876305454746333,0.8572334224512752,0.9378637011394099,0.5386252737357293,0.44826477019874983,0.5083778272957792,0.8696917822749517,0.7650980196699543,0.8348574048471636,1.0,1.0,1.4142135623730951,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
median,0.9330046403712297,0.953452006083585,0.9592136057144391,0.6387173486405807,0.5738887796051259,0.558836731730706,0.9237023973880452,0.8789479436958332,0.8649721254099425,1.4142135623730951,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
75quantile,0.9563358453374781,0.9691219630632637,0.975995026290281,0.7177892969428811,0.6772101578544003,0.6658053538607756,0.9735973615760908,0.9463671468542088,0.9395330471814507,2.618033988749895,4.670830100356035,4.611062569605222,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
