,MSE,PSNR,SSIM
BraTS-GLI-01705-000,0.007599041797220707,21.192411422729492,0.9128435850143433
BraTS-GLI-01706-000,0.012225121259689331,19.12746810913086,0.6960983872413635
BraTS-GLI-01707-000,0.0029543335549533367,25.29540252685547,0.8239845037460327
BraTS-GLI-01708-000,0.0028350825887173414,25.474340438842773,0.823489785194397
BraTS-GLI-01709-000,0.0044938805513083935,23.473783493041992,0.8705548048019409
BraTS-GLI-01710-000,0.008191884495317936,20.866161346435547,0.8021442294120789
BraTS-GLI-01711-000,0.000662845210172236,31.785877227783203,0.9984638690948486
BraTS-GLI-01712-000,0.008185025304555893,20.86979866027832,0.7606343030929565
BraTS-GLI-01713-000,0.005020163953304291,22.99281883239746,0.7936986684799194
BraTS-GLI-01714-000,0.0033759635407477617,24.716020584106445,0.8071331977844238
BraTS-GLI-01715-000,0.004298727493733168,23.66659927368164,0.8944117426872253
BraTS-GLI-01716-000,0.008165059611201286,20.88040542602539,0.8491145372390747
BraTS-GLI-01717-000,0.00018346826254855841,37.36438751220703,0.9991569519042969
BraTS-GLI-01718-000,0.000330794311594218,34.804420471191406,0.9985635876655579
